"State","County","Routine_Appt","LB_Routine_Appt","UB_Routine_Appt","LocationID","TotalPop18plus","MoE_Routine_Appt1","MoE_Routine_Appt2","Med_Income","MoE_Med_Income","LB_Med_Income","UB_Med_Income"
"AR","Montgomery",75.4,71.1,79.4,"05097",7012,4,4.30000000000001,47103,3596,41188.1063574825,53017.8936425175
"AL","Blount",75.2,70.8,79.1,"01009",46000,3.89999999999999,4.40000000000001,57440,3308,51998.8242020445,62881.1757979555
"AL","Marion",76.8,72.4,80.7,"01093",23044,3.90000000000001,4.39999999999999,49743,3692,43670.2004092952,55815.7995907048
"AR","St. Francis",78,74.4,81.3,"05123",17669,3.3,3.59999999999999,39822,3288,34413.7212745836,45230.2787254164
"CA","Sierra",67.9,62.9,72.4,"06091",2684,4.5,5.00000000000001,61108,9237,45914.4870478493,76301.5129521507
"AR","Union",77.9,74,81.3,"05139",28789,3.39999999999999,3.90000000000001,49745,5298,41030.5654844111,58459.4345155889
"AL","Barbour",79.1,75.1,82.6,"01005",19675,3.5,4,39712,3289,34302.0764209566,45121.9235790434
"AR","Ashley",77.2,73.4,81,"05003",14253,3.8,3.8,44804,5203,36245.8265789715,53362.1734210285
"AL","Madison",79.3,75.9,82.5,"01089",317999,3.2,3.39999999999999,78058,2232,74386.6867046443,81729.3132953557
"AL","Jackson",75.8,71.5,79.9,"01071",42087,4.10000000000001,4.3,46748,2079,43328.3493095679,50167.6506904321
"AR","Pope",76.5,72.7,80.1,"05115",49399,3.59999999999999,3.8,51678,2387,47751.7343924668,55604.2656075332
"CA","Alameda",69.8,66.4,73.1,"06001",1311253,3.3,3.39999999999999,122488,1231,120463.185185223,124512.814814777
"AZ","Greenlee",68,63.3,72.3,"04011",6806,4.3,4.7,73756,3780,67538.4532901234,79973.5467098766
"AL","Cherokee",76.7,72.6,80.7,"01019",20586,4,4.10000000000001,46621,3697,40539.9761411604,52702.0238588396
"CA","Contra Costa",68.3,64.3,71.9,"06013",906227,3.60000000000001,4,120020,1496,117559.298974081,122480.701025919
"AR","Nevada",78,74.1,81.8,"05099",6364,3.8,3.90000000000001,43421,4219,36481.3625478917,50360.6374521083
"AZ","Apache",67.3,63.2,70.8,"04001",48388,3.5,4.09999999999999,37483,3091,32398.757439093,42567.242560907
"AK","Anchorage",67.8,64.6,70.7,"02020",219637,2.90000000000001,3.2,95731,2829,91077.7090893543,100384.290910646
"AR","Fulton",75,70.4,78.8,"05049",9746,3.8,4.59999999999999,38917,3644,32923.1533833888,44910.8466166112
"AK","Kodiak Island",64.6,59.8,69.1,"02150",9749,4.5,4.8,91138,11155,72789.6577913563,109486.342208644
"AK","Southeast Fairbanks",62.7,58.2,67,"02240",5207,4.3,4.5,75378,7772,62594.1976113332,88161.8023886668
"AK","Aleutians East",64.4,59.4,69.2,"02013",3204,4.8,5.00000000000001,79961,6768,68828.6306527924,91093.3693472076
"AL","DeKalb",75.7,71.7,79.5,"01049",54954,3.8,4,47920,2836,43255.1951139656,52584.8048860344
"CA","Mono",67.9,63.2,72.4,"06051",10782,4.5,4.7,82038,15388,56726.9923884708,107349.007611529
"AL","Macon",81.5,78,84.7,"01087",15413,3.2,3.5,41206,4232,34244.9794507414,48167.0205492586
"AL","Colbert",76.8,72.4,80.9,"01033",45809,4.10000000000001,4.39999999999999,56149,3200,50885.4683937553,61412.5316062447
"AZ","Yuma",71.4,67.6,75,"04027",155973,3.59999999999999,3.80000000000001,56439,1344,54228.3167253772,58649.6832746228
"AR","Benton",76.4,72.9,79.7,"05007",226571,3.3,3.5,85269,1607,82625.720221489,87912.279778511
"AZ","Santa Cruz",68.5,63.7,73,"04023",36389,4.5,4.8,51885,3210,46605.0198574858,57164.9801425142
"AR","Sharp",74.4,70.1,78.4,"05135",14115,4,4.30000000000001,43332,2537,39159.0063484241,47504.9936515759
"AR","Greene",75,71,79,"05055",35423,4,4,54879,2724,50398.4187201842,59359.5812798158
"AL","Walker",75.9,71.8,79.7,"01127",49952,3.8,4.10000000000001,52987,3833,46682.276047895,59291.723952105
"AR","Johnson",75.8,71.4,79.8,"05071",19674,4,4.39999999999999,42470,3469,36764.0027681053,48175.9972318947
"AL","Crenshaw",77.4,73.3,81.2,"01041",10003,3.8,4.10000000000001,48557,3908,42128.9120258737,54985.0879741263
"AR","Crawford",76.2,72.1,79.9,"05033",46441,3.7,4.10000000000001,56702,2201,53081.6771670798,60322.3228329202
"AL","Marshall",76.6,72.5,80.4,"01095",74082,3.80000000000001,4.09999999999999,58272,2006,54972.4236243354,61571.5763756646
"AR","Randolph",76.4,72.4,80.2,"05121",14222,3.8,4,45993,4649,38346.0754883026,53639.9245116974
"AK","Petersburg",63.8,59,68.4,"02195",2664,4.60000000000001,4.8,77826,13410,55768.5128625808,99883.4871374192
"AK","Bethel",64.5,60.1,68.5,"02050",11844,4,4.4,64094,6460,53468.2455698935,74719.7544301065
"AR","Woodruff",76.5,72.3,80.2,"05147",4743,3.7,4.2,49608,3585,43711.199747379,55504.800252621
"AZ","Cochise",67.9,64,71.6,"04003",99550,3.69999999999999,3.90000000000001,58421,2593,54155.8945453148,62686.1054546852
"AR","Perry",75.8,71.5,79.8,"05105",7925,4,4.3,53980,8161,40556.349550449,67403.650449551
"AL","Henry",76.7,72.2,80.6,"01067",14074,3.89999999999999,4.5,58395,5437,49451.9308302648,67338.0691697352
"AR","Lawrence",75.5,71.1,79.3,"05075",12618,3.8,4.40000000000001,43606,3565,37742.096819918,49469.903180082
"AL","Clarke",79,75.1,82.6,"01025",17657,3.59999999999999,3.90000000000001,47549,7087,35891.9223457949,59206.0776542051
"CA","Plumas",69.1,64.4,73.6,"06063",16081,4.5,4.69999999999999,67885,7772,55101.1976113332,80668.8023886668
"AR","Monroe",78.5,74.7,82.2,"05095",5069,3.7,3.8,41786,10996,23699.1895180416,59872.8104819584
"CA","Mariposa",68.8,63.9,73,"06043",14037,4.2,4.9,60021,5293,51314.7897525459,68727.2102474541
"AK","Matanuska-Susitna",65.6,62.2,68.9,"02170",84362,3.30000000000001,3.39999999999999,86435,2503,82317.9313717405,90552.0686282595
"AR","Howard",76.8,72.7,80.6,"05061",9352,3.8,4.09999999999999,44824,6121,34755.85094943,54892.14905057
"AL","Cleburne",75.7,71.4,79.7,"01029",11832,4,4.3,51553,4006,44963.7163704324,58142.2836295676
"AR","Cleveland",76.9,72.8,80.7,"05025",5842,3.8,4.10000000000001,48913,5969,39094.8687007267,58731.1312992733
"AR","Conway",75.5,71.1,79.5,"05029",16346,4,4.40000000000001,50282,4273,43253.5404520364,57310.4595479636
"AR","Poinsett",75,70.4,78.9,"05111",17104,3.90000000000001,4.59999999999999,43440,2999,38507.0839727725,48372.9160272275
"AR","Lee",77.1,72.8,80.7,"05077",6854,3.60000000000001,4.3,33801,6518,23079.8440595303,44522.1559404697
"AK","Copper River",64.5,59.6,69.3,"02066",1955,4.8,4.9,70606,9374,55187.1421009569,86024.8578990431
"CA","Madera",67.8,63.1,72.2,"06039",116890,4.40000000000001,4.7,73543,2844,68865.03628495,78220.96371505
"AL","Lee",78,74.2,81.2,"01081",143546,3.2,3.8,59288,2943,54447.1957758818,64128.8042241182
"AL","Lauderdale",77.1,73,81,"01077",77472,3.90000000000001,4.09999999999999,56081,3092,50995.112585466,61166.887414534
"AL","Autauga",77.9,74,81.6,"01001",45878,3.69999999999999,3.90000000000001,68315,4941,60187.7782292328,76442.2217707672
"CA","Nevada",66.2,61.2,70.7,"06057",85163,4.5,5,79395,3823,73106.7245841645,85683.2754158355
"AL","Conecuh",79.7,75.8,83.2,"01035",8943,3.5,3.90000000000001,39888,4152,33058.5677408975,46717.4322591025
"CA","Amador",66.8,62.2,71.2,"06005",35068,4.40000000000001,4.59999999999999,74853,6048,64904.9252641975,84801.0747358025
"AL","Pike",79.5,75.9,82.9,"01109",26725,3.40000000000001,3.59999999999999,42616,4107,35860.5861541103,49371.4138458897
"AZ","Navajo",66.5,62.5,69.9,"04017",81314,3.40000000000001,4,50335,2034,46989.3677227807,53680.6322772193
"AR","Marion",76.1,72.1,80,"05089",14040,3.90000000000001,4,42891,4867,34885.4973976272,50896.5026023728
"AK","Yukon-Koyukuk",65.2,60.2,69.7,"02290",3757,4.5,5,47826,5856,38193.7371605722,57458.2628394278
"CA","Calaveras",66.8,62,71.2,"06009",38508,4.40000000000001,4.8,77526,3875,71152.192195563,83899.807804437
"AR","Sebastian",75.5,71.6,79.2,"05131",98606,3.7,3.90000000000001,54047,2341,50196.3976593066,57897.6023406934
"CA","Merced",67.2,62.4,71.6,"06047",207099,4.39999999999999,4.8,64772,2142,61248.72353107,68295.27646893
"AL","Greene",81.9,78.2,85,"01063",5801,3.09999999999999,3.7,32796,4030,26167.2398833856,39424.7601166144
"CA","Siskiyou",68,63.3,72.4,"06093",34974,4.40000000000001,4.7,53898,2640,49555.5864248481,58240.4135751519
"CA","Monterey",68.1,63.9,72.1,"06053",322881,4,4.2,91043,1900,87917.7781087922,94168.2218912078
"AL","Sumter",81.4,77.8,84.8,"01119",9573,3.39999999999999,3.60000000000001,31726,6535,20976.8815478721,42475.1184521279
"AZ","Coconino",67.5,63.9,71,"04005",116202,3.5,3.6,67266,1828,64259.2075699327,70272.7924300673
"AR","Bradley",77,72.8,80.7,"05011",7691,3.7,4.2,43688,3469,37982.0027681053,49393.9972318947
"CA","Inyo",68.6,63.7,73.1,"06027",14942,4.5,4.89999999999999,63417,5453,54447.6131722336,72386.3868277664
"AZ","Graham",68.5,63.8,73,"04009",28375,4.5,4.7,64089,4152,57259.5677408975,70918.4322591025
"AR","Prairie",75.4,70.9,79.4,"05117",6413,4,4.5,47045,6739,35960.331407974,58129.668592026
"AL","Dallas",82.6,79.3,85.7,"01047",28171,3.10000000000001,3.3,37180,3448,31508.5446942713,42851.4553057287
"CA","San Mateo",68.2,64.1,72.1,"06081",588683,3.89999999999999,4.10000000000001,149907,2621,145595.83864376,154218.16135624
"AR","Newton",74.8,70.5,79,"05101",5757,4.2,4.3,50699,7025,39143.9032706659,62254.0967293341
"AR","Franklin",74.8,70.4,78.7,"05047",13428,3.90000000000001,4.39999999999999,47695,4935,39577.6473509945,55812.3526490055
"AK","Dillingham",64.7,59.9,69.2,"02070",3253,4.5,4.8,69412,26682,25524.0155256808,113299.984474319
"AL","Coffee",78.8,74.9,82.2,"01031",41812,3.40000000000001,3.89999999999999,62199,3570,56326.8725517832,68071.1274482168
"CA","Modoc",68.6,64.1,73.3,"06049",6957,4.7,4.5,54962,5389,46097.8838043585,63826.1161956415
"AL","Geneva",77.1,72.9,80.9,"01061",20925,3.80000000000001,4.19999999999999,47608,4353,40447.9521618802,54768.0478381198
"AL","Mobile",75.9,72.4,79.1,"01097",316433,3.19999999999999,3.5,55352,1348,53134.7373108694,57569.2626891306
"AR","Craighead",76.1,72,79.9,"05031",84884,3.80000000000001,4.09999999999999,55169,2630,50843.0349611176,59494.9650388824
"AL","Washington",76.7,72.7,80.5,"01129",11883,3.8,4,51184,5632,41920.1843730093,60447.8156269907
"AL","Dale",78.8,75,82.5,"01045",38039,3.7,3.8,52813,3967,46287.8656618835,59338.1343381165
"AR","Desha",79.2,75.5,82.6,"05041",8099,3.39999999999999,3.7,38067,4386,30852.6719921908,45281.3280078092
"AL","Calhoun",77.8,74,81.4,"01015",91336,3.60000000000001,3.8,54339,2221,50685.7800945408,57992.2199054592
"CA","Solano",68.9,64.7,73,"06095",351591,4.09999999999999,4.2,97037,1724,94201.2723471357,99872.7276528643
"CA","Santa Clara",67.5,64,70.7,"06085",1490785,3.2,3.5,153792,1545,151250.70114636,156333.29885364
"AK","Kenai Peninsula",64.5,60.4,67.9,"02122",47342,3.40000000000001,4.1,76272,3470,70564.3579144784,81979.6420855216
"AR","Hot Spring",77.3,73.6,80.8,"05059",26866,3.5,3.7,50260,4610,42677.2247797537,57842.7752202463
"AL","St. Clair",76.5,72.3,80.3,"01115",73225,3.8,4.2,73218,4451,65896.756506439,80539.243493561
"AL","Russell",79.4,75.6,82.9,"01113",44348,3.5,3.80000000000001,47420,2828,42768.3539429812,52071.6460570188
"US","",74.2,73.9,74.5,"00059",260836730,0.299999999999997,0.299999999999997,NA,NA,NA,NA
"AL","Monroe",79.5,75.6,83.2,"01099",15344,3.7,3.90000000000001,39965,6253,29679.7302706724,50250.2697293276
"AR","Pulaski",80.1,77.3,83,"05119",307676,2.90000000000001,2.8,58326,1739,55465.5995427314,61186.4004572686
"CA","El Dorado",69.9,65.6,74.3,"06017",155421,4.39999999999999,4.30000000000001,99246,3330,93768.6374222516,104723.362577748
"AL","Hale",80.2,76.5,83.5,"01065",11112,3.3,3.7,35851,7915,22831.9835426791,48870.0164573209
"AL","Butler",79.6,75.7,83.2,"01013",14473,3.60000000000001,3.89999999999999,44429,4102,37681.8104222451,51176.1895777549
"AR","Searcy",75.6,71.3,79.5,"05129",6329,3.90000000000001,4.3,42063,5502,33013.015344513,51112.984655487
"AR","Baxter",76.8,72.7,80.6,"05005",34886,3.8,4.09999999999999,47403,2413,43433.9681981661,51372.0318018339
"AR","Arkansas",76.4,72.4,80.3,"05001",12710,3.89999999999999,4,58695,2163,55137.181604904,62252.818395096
"CA","Butte",69.3,64.6,73.7,"06007",165784,4.40000000000001,4.7,66085,2261,62365.9859494627,69804.0140505373
"AR","White",75.4,71.5,79.4,"05145",59836,4,3.90000000000001,51144,3710,45041.59304401,57246.40695599
"AR","Chicot",78.3,74.3,81.9,"05017",7738,3.60000000000001,4,36593,4587,29048.0564131736,44137.9435868264
"AL","Houston",78.1,74.4,81.6,"01069",83692,3.5,3.69999999999999,55064,1412,52741.4666787445,57386.5333212555
"CA","Marin",69.2,64.7,73.3,"06041",207716,4.09999999999999,4.5,142019,4098,135278.389836753,148759.610163247
"CA","Sacramento",68.7,65.1,72.2,"06067",1225015,3.5,3.60000000000001,84010,816,82667.7994404076,85352.2005595924
"AR","Jefferson",79.8,76.2,83,"05069",50524,3.2,3.59999999999999,46855,2150,43318.5647020543,50391.4352979457
"CA","Glenn",66.9,62.4,71.2,"06021",20780,4.3,4.50000000000001,64033,3963,57514.4450763913,70551.5549236087
"CA","Napa",68.3,63.5,72.8,"06055",108501,4.5,4.8,105809,2981,100905.691338058,110712.308661942
"AR","Ouachita",78.5,74.8,81.9,"05103",17132,3.40000000000001,3.7,47348,4748,39538.2349792344,55157.7650207656
"AZ","Mohave",67,63.2,70.6,"04015",185152,3.59999999999999,3.8,53592,1874,50509.5443030929,56674.455696907
"CA","San Francisco",69.8,66,73.2,"06075",697737,3.40000000000001,3.8,136689,1954,133474.956012937,139903.043987063
"CA","Santa Barbara",70,65.8,73.9,"06083",346432,3.90000000000001,4.2,92332,1889,89224.8714986887,95439.1285013113
"AR","Izard",75,70.8,78.9,"05065",11539,3.90000000000001,4.2,46159,6295,35804.6464183405,56513.3535816595
"AL","Pickens",79.1,75.2,82.6,"01107",15176,3.5,3.89999999999999,45339,2865,40626.494358784,50051.505641216
"CA","Lassen",66.9,62.3,71.4,"06035",24446,4.5,4.60000000000001,59515,3551,53674.1247706953,65355.8752293047
"AR","Little River",76.9,72.6,81.1,"05081",9241,4.19999999999999,4.30000000000001,58627,11485,39735.8560944623,77518.1439055377
"AL","Elmore",78.5,74.7,82.1,"01051",70369,3.59999999999999,3.8,73258,2727,68772.4841593033,77743.5158406967
"AL","Etowah",77.3,73.3,81,"01055",81013,3.7,4,52177,1922,49015.5913289993,55338.4086710007
"AR","Lonoke",77.2,73.4,80.8,"05085",56799,3.59999999999999,3.8,68078,2801,63470.7649909089,72685.2350090911
"AL","Chambers",78.1,74,81.8,"01017",27025,3.7,4.09999999999999,48805,5967,38990.1584079806,58619.8415920194
"AK","Kusilvak",65.8,61,70.6,"02158",4793,4.8,4.8,42663,3389,37088.5910582615,48237.4089417385
"AR","Crittenden",79.4,75.9,82.7,"05035",34396,3.3,3.5,51860,3801,45607.9113639575,58112.0886360425
"AL","Talladega",78.2,74.2,81.8,"01121",64258,3.59999999999999,4,52457,2838,47788.9054067117,57125.0945932883
"AK","Lake and Peninsula",65.9,60.8,70.5,"02164",976,4.59999999999999,5.10000000000001,61607,7202,49760.7641786955,73453.2358213045
"AK","Prince of Wales-Hyder",64.7,59.6,69.2,"02198",4434,4.5,5.1,61779,3488,56041.7505491933,67516.2494508067
"CA","Riverside",69.4,65.8,72.6,"06065",1880349,3.19999999999999,3.60000000000001,84505,1061,82759.8103018045,86250.1896981955
"AL","Tuscaloosa",78,74.2,81.2,"01125",189291,3.2,3.8,61645,2209,58011.5183380642,65278.4816619358
"CA","San Diego",71.4,68.5,74.4,"06073",2596582,3,2.90000000000001,96974,993,95340.6603484372,98607.3396515628
"AL","Winston",76.7,72.3,80.6,"01133",18962,3.89999999999999,4.40000000000001,49494,4717,41735.2254416699,57252.7745583301
"AR","Garland",76.9,73.2,80.4,"05051",80594,3.5,3.7,54229,2613,49930.9974727758,58527.0025272242
"AL","Randolph",76.9,72.7,80.8,"01111",17785,3.89999999999999,4.2,49879,8209,36376.3965763554,63381.6034236446
"AR","Dallas",77.5,73.3,81.2,"05039",4962,3.7,4.2,40085,9399,24625.0207602831,55544.9792397169
"CA","Humboldt",67.1,62.6,71.4,"06023",110011,4.30000000000001,4.49999999999999,57881,2131,54375.8169209664,61386.1830790336
"AK","Nome",64.3,59.8,69,"02180",6518,4.7,4.5,70121,3554,64275.1902098145,75966.8097901855
"AK","Juneau",65.6,61.5,69.4,"02110",25234,3.80000000000001,4.09999999999999,95711,6801,84524.350483103,106897.649516897
"AR","Clark",78,74.1,81.5,"05019",17009,3.5,3.90000000000001,48071,5734,38639.4093030603,57502.5906969397
"CA","Los Angeles",71,68.5,73.4,"06037",7737357,2.40000000000001,2.5,83411,439,82688.9092577683,84133.0907422317
"AL","Morgan",76.1,72.2,79.7,"01103",95875,3.60000000000001,3.89999999999999,61588,2499,57477.5107862483,65698.4892137517
"AZ","Pima",69.2,65.9,72.3,"04019",850216,3.09999999999999,3.3,64323,957,62748.8750790074,65897.1249209926
"AR","Cleburne",74.1,69.8,78.1,"05023",20610,4,4.3,52780,3476,47062.4887927167,58497.5112072833
"AK","Northwest Arctic",65,60.1,70,"02188",4634,5,4.9,77647,6180,67481.8045854399,87812.1954145601
"AK","Ketchikan Gateway",65.1,61,69.4,"02130",10954,4.30000000000001,4.09999999999999,82763,5567,73606.0998587612,91919.9001412388
"AL","Jefferson",80.5,77.5,83.4,"01073",515688,2.90000000000001,3,63595,1305,61448.4660168283,65741.5339831717
"CA","San Benito",67.9,63.1,72.2,"06069",50683,4.3,4.8,104451,5461,95468.454343218,113433.545656782
"AR","Van Buren",74.6,70.1,78.5,"05141",13026,3.90000000000001,4.5,45768,3226,40461.7021994546,51074.2978005454
"AL","Baldwin",76.8,73.1,80.4,"01003",195167,3.60000000000001,3.7,71039,2374,67134.1174896172,74943.8825103828
"CA","Kern",69.8,65.8,73.6,"06029",655754,3.8,4,63883,1325,61703.5689442893,66062.4310557107
"CA","Orange",71.5,68.3,74.5,"06059",2496667,3,3.2,109361,882,107910.239101029,110811.760898971
"AR","Saline",76.9,72.9,80.5,"05125",98378,3.59999999999999,4,73236,3192,67985.6272227709,78486.3727772291
"AL","Fayette",75.9,71.8,79.8,"01057",12706,3.89999999999999,4.10000000000001,45650,6646,34718.3027952805,56581.6972047195
"AL","Shelby",78.4,74.7,81.8,"01117",179068,3.39999999999999,3.7,90618,3328,85143.9271295055,96092.0728704945
"CA","Del Norte",65.4,60.4,70.2,"06015",21423,4.8,5.00000000000001,61149,4376,53951.1205284604,68346.8794715396
"AR","Faulkner",78.4,74.9,81.5,"05045",99253,3.09999999999999,3.5,61273,3234,55953.5433704389,66592.4566295611
"AR","Stone",75.6,71.3,79.3,"05137",10116,3.7,4.3,37664,8139,24276.536330242,51051.463669758
"AL","Marengo",79.6,75.9,83.2,"01091",14573,3.60000000000001,3.69999999999999,42975,5993,33117.3922136798,52832.6077863202
"AK","Hoonah-Angoon",65,60.1,69.7,"02105",1905,4.7,4.9,62344,5516,53270.9873937357,71417.0126062643
"AL","Bullock",79.6,75.8,83.1,"01011",8049,3.5,3.8,36136,4731,28354.1974908926,43917.8025091074
"AL","Perry",81.4,77.8,84.8,"01105",6354,3.39999999999999,3.60000000000001,32332,7059,20720.9782473496,43943.0217526504
"AR","Calhoun",75.8,71.5,79.5,"05013",3837,3.7,4.3,60237,6104,50196.8134610882,70277.1865389118
"AL","Covington",76.4,72.2,80.3,"01039",29340,3.89999999999999,4.2,48772,4644,41133.2997564374,56410.7002435626
"CA","San Bernardino",70,66.6,73.6,"06071",1635914,3.59999999999999,3.40000000000001,77423,806,76097.2479766771,78748.7520233229
"AL","Lowndes",82.2,78.3,85.3,"01085",7650,3.09999999999999,3.90000000000001,33125,4764,25288.9173212032,40961.0826787968
"CA","San Luis Obispo",69,64.4,73,"06079",234072,4,4.59999999999999,90158,2311,86356.7432681152,93959.2567318848
"AK","Bristol Bay",63.7,58.7,68.4,"02060",680,4.7,5,94167,12682,73306.9663030014,115027.033696999
"AR","Miller",76.2,72,79.9,"05091",32501,3.7,4.2,47613,3922,41161.8840750963,54064.1159249037
"AR","Hempstead",78.5,74.5,82.1,"05057",14606,3.59999999999999,4,45049,4022,38433.3987124012,51664.6012875988
"AZ","La Paz",67.7,62.8,72.3,"04012",13903,4.59999999999999,4.90000000000001,46634,2584,42383.6982279574,50884.3017720426
"CA","San Joaquin",67.8,63.8,71.6,"06077",586031,3.8,4,82837,1448,80455.2519481743,85218.7480518257
"AR","Lafayette",77.1,73.1,81,"05073",4971,3.90000000000001,4,40262,8531,26229.753708477,54294.246291523
"AZ","Yavapai",67.9,64.3,71.4,"04025",208516,3.5,3.60000000000001,62430,1633,59743.9540271882,65116.0459728118
"AK","Haines",62.8,57.8,67.6,"02100",1705,4.8,5,68276,17797,39002.5400011447,97549.4599988553
"AL","Cullman",74.2,69.8,78.3,"01043",70581,4.09999999999999,4.40000000000001,58119,2269,54386.8271204471,61851.1728795529
"AR","Mississippi",76.9,72.9,80.7,"05093",28853,3.8,4,50012,4432,42722.0087253511,57301.9912746489
"CA","Santa Cruz",68.2,64,72.4,"06087",216642,4.2,4.2,104409,3173,99189.879441683,109628.120558317
"AR","Boone",75.7,71.5,79.5,"05009",29646,3.8,4.2,52275,3148,47097.0007823568,57452.9992176432
"AR","Sevier",75.7,71.5,79.6,"05133",11258,3.89999999999999,4.2,53567,2723,49088.0635738111,58045.9364261889
"AK","Aleutians West",62.9,58.4,68.1,"02016",4630,5.2,4.5,100662,7734,87940.7020491573,113383.297950843
"AR","Drew",78,74.2,81.7,"05043",13179,3.7,3.8,44968,5175,36455.8824805261,53480.1175194739
"AR","Yell",75.4,71,79.4,"05149",15366,4,4.40000000000001,55879,6270,45565.7677590143,66192.2322409857
"AR","Columbia",78.5,74.6,82.1,"05027",17519,3.59999999999999,3.90000000000001,47441,6433,36859.6566178212,58022.3433821788
"CA","Imperial",69.2,64.7,73.5,"06025",128478,4.3,4.5,53847,2214,50205.2940699294,57488.7059300706
"AZ","Pinal",71.3,67.8,74.5,"04021",363401,3.2,3.5,73313,1177,71377.0072810781,75248.9927189219
"CA","Placer",68.3,64,72.4,"06061",327593,4.10000000000001,4.3,109375,1856,106322.151668378,112427.848331622
"AL","Chilton",76.5,72.3,80.3,"01021",35069,3.8,4.2,62471,3466,56769.9373289862,68172.0626710138
"AL","Franklin",76.1,71.8,80.1,"01059",24099,4,4.3,47359,4879,39333.7591541038,55384.2408458962
"AR","Phillips",80.2,76.7,83.4,"05107",11406,3.2,3.5,37458,4178,30585.8015465968,44330.1984534032
"CA","Alpine",68.9,64.2,73.4,"06003",998,4.5,4.7,101125,17442,72435.4630387124,129814.536961288
"AL","Lamar",76.3,72,80.3,"01075",10722,4,4.3,49565,4483,42191.1211903766,56938.8788096234
"AL","Coosa",76.8,72.9,80.5,"01037",8479,3.7,3.89999999999999,52279,4025,45658.4641515203,58899.5358484797
"AK","Skagway",63.4,58.2,68.3,"02230",924,4.9,5.2,79583,10798,61821.870536178,97344.129463822
"CA","Stanislaus",67.8,63.5,72.2,"06099",405382,4.40000000000001,4.3,74872,1371,72616.9056774495,77127.0943225505
"AK","Wrangell",63.8,58.7,68.8,"02275",1682,5,5.09999999999999,61000,9442,45469.2920543242,76530.7079456758
"AR","Grant",75.1,70.9,78.9,"05053",14212,3.80000000000001,4.19999999999999,68598,7227,56710.6428380217,80485.3571619783
"CA","Lake",68.8,64.4,73.2,"06033",53338,4.40000000000001,4.39999999999999,56259,2439,52247.2020038654,60270.7979961346
"CA","Colusa",67.6,62.7,72,"06011",16137,4.40000000000001,4.89999999999999,69619,5745,60169.3159131638,79068.6840868362
